City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Jamestown,US,71.1,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
137,Salinopolis,BR,86.25,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
138,Necochea,AR,61.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
140,Zlitan,LY,71.01,broken clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
142,Lithakia,GR,65.62,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
145,Port Blair,IN,80.1,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
146,Los Llanos De Aridane,ES,73.15,few clouds,28.6585,-17.9182,Valle Aridane
150,Straubing,DE,61.16,overcast clouds,48.8833,12.5667,Genusshotel Wenisch / Toni's by Wenisch
152,Meulaboh,ID,79.18,scattered clouds,4.1363,96.1285,Kost Pria
155,Carnarvon,AU,69.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
156,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
157,Bud,US,70.59,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
160,Escuinapa,MX,75.11,few clouds,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
162,Wapakoneta,US,74.14,overcast clouds,40.5678,-84.1936,Best Western Wapakoneta Inn
163,Muros,ES,74.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
165,Luganville,VU,77.41,broken clouds,-15.5333,167.1667,The Espiritu Hotel
166,Bredasdorp,ZA,61.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
167,Doctor Juan Leon Mallorquin,PY,65.93,moderate rain,-25.4,-55.2667,Hotel Puma S.A.
172,Yulara,AU,66.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
173,Kenitra,MA,83.73,broken clouds,34.261,-6.5802,Bienvenue chez vous
174,Odweyne,SO,84.11,scattered clouds,9.4092,45.064,Eng Hiirey House
181,Manakara,MG,74.71,clear sky,-22.1333,48.0167,La Residence Manakara
183,Namatanai,PG,80.11,light rain,-3.6667,152.4333,Seagulls Inn Namatani
185,Mayumba,GA,78.24,broken clouds,-3.432,10.6554,LIKWALE LODGE
186,Phuntsholing,BT,78.33,scattered clouds,26.8516,89.3884,Hotel White House
189,Kamina,CD,66.02,moderate rain,-8.7386,24.9906,Guest House Florvia
192,Haimen,CN,75.09,broken clouds,23.1935,116.6142,Jinghao Business Hotel
196,Cidreira,BR,69.04,light rain,-30.1811,-50.2056,Hotel Castelo
197,Popondetta,PG,73.38,overcast clouds,-8.7537,148.2534,Timos Transit House
198,Rayachoti,IN,83.39,overcast clouds,14.05,78.75,Swetha lodge
199,Pokhara,NP,71.19,clear sky,28.2333,83.9833,Butterfly Lodge
200,Tsiroanomandidy,MG,87.48,few clouds,-18.7667,46.0333,Hotel du Bongolave
202,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
205,Kimbe,PG,77.07,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
207,Sao Filipe,CV,79.59,clear sky,14.8961,-24.4956,Hotel Xaguate
211,Zhob,PK,71.74,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
212,Dwarka,IN,82.51,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
214,Mporokoso,ZM,78.66,overcast clouds,-9.3727,30.125,Government Guest House
215,Labuhan,ID,83.35,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
216,Acapulco,MX,83.44,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
217,Ponta Do Sol,PT,80.01,few clouds,32.6667,-17.1,Hotel do Campo
219,Chincha Alta,PE,63.19,overcast clouds,-13.4099,-76.1323,Buena Vista Casa Hotel
220,Sabang,ID,83.03,broken clouds,5.8933,95.3214,Hotel Citra
221,Lima,PE,69.91,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
222,Lagoa,PT,69.19,overcast clouds,39.05,-27.9833,Casa Das Faias
225,Monroe,US,72.66,overcast clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
226,Guerrero Negro,MX,69.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
227,Adwa,ET,69.04,clear sky,14.1646,38.8955,Maay Assa Hotel
230,Tura,IN,77.07,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
232,Japura,ID,78.35,broken clouds,-0.3167,102.35,Rumah mbah Jamah
233,Gudari,IN,77.05,light rain,19.35,83.7833,Hotel maa majhigouri
235,Vila Franca Do Campo,PT,73.81,few clouds,37.7167,-25.4333,Pestana Bahia Praia
238,Tecoanapa,MX,83.01,scattered clouds,16.5167,-98.75,Hotel Manglares
239,Moerai,PF,76.06,scattered clouds,-22.4333,-151.3333,Le Manotel
242,Ca Mau,VN,78.66,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
243,Padang,ID,78.85,scattered clouds,-0.9492,100.3543,Mercure Padang
244,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
245,Punganuru,IN,73.83,moderate rain,13.3667,78.5833,Subrahmanyam hotel
247,Santa Cruz De La Palma,ES,77.14,few clouds,28.6835,-17.7642,H10 Taburiente Playa
249,Saldanha,ZA,66.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
251,Key West,US,84.99,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
253,Llata,PE,64.11,overcast clouds,-9.4167,-76.7833,Hospedaje Familia Collazos Espinoza
254,Noumea,NC,67.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
256,La Serena,CL,60.31,clear sky,-29.9078,-71.2542,Terra Diaguita Hostal Boutique & Spa
257,Bafq,IR,75.11,clear sky,31.6128,55.4107,Alamdar Hotel
260,Saint-Leu,RE,74.26,scattered clouds,-21.15,55.2833,La Caz Oceane
264,Guilin,CN,64.51,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
267,San Patricio,US,84.92,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
268,Puerto Ayacucho,VE,89.37,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
272,Pochutla,MX,83.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
278,Bela Vista,BR,84.61,moderate rain,-22.1089,-56.5211,Bella Vista Palace Hotel
280,Tiruchchendur,IN,82.29,overcast clouds,8.4833,78.1167,Hotel Udhayam International
281,Shelburne,CA,60.69,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
282,Djambala,CG,78.08,light rain,-2.5447,14.7533,Hotel Ravin D'or
283,Ballina,AU,66.24,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
286,Taltal,CL,60.78,clear sky,-25.4,-70.4833,Residencial Karime
288,Hithadhoo,MV,83.17,overcast clouds,-0.6,73.0833,Scoop Guest House
292,Samut Songkhram,TH,78.94,light rain,13.4,99.9583,Amphawa Nanon Hotel & Spa
296,Rawson,AR,60.6,clear sky,-43.3002,-65.1023,Hosteria Sampedro
301,Samarai,PG,77.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
302,Karratha,AU,74.88,clear sky,-20.7377,116.8463,ibis Styles Karratha
305,Kabare,CD,68.63,moderate rain,-2.4683,28.8242,Hôtel Panorama
308,Hualmay,PE,66.47,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
309,Antalaha,MG,74.34,light rain,-14.9003,50.2788,Hotel Vitasoa
312,Hilton Head Island,US,78.98,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
316,Sindgi,IN,77.77,overcast clouds,16.9167,76.2333,Swaranambika nilaya
317,Porto Murtinho,BR,77.86,moderate rain,-21.6989,-57.8825,Hotel Pantanal
318,Kilindoni,TZ,78.57,clear sky,-7.9139,39.6668,Bustani B&B
319,Quang Ngai,VN,76.86,overcast clouds,15.1167,108.8,Central Hotel
323,Ginir,ET,63.79,few clouds,7.1333,40.7,Sura Dare Village
325,Petalcingo,MX,65.23,few clouds,17.2833,-92.45,Hospedaje San Felipe de Jesús
326,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
327,Hamilton,US,75.58,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
329,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
333,Manali,IN,82.49,overcast clouds,13.1667,80.2667,Sarathy Lodge
334,Seguela,CI,88.83,clear sky,7.9611,-6.6731,Hotel le Carrefour
336,Paso De Carrasco,UY,60.94,broken clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
337,Penne,IT,61.81,few clouds,42.4538,13.9299,Bettina
338,Sechura,PE,70.07,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
339,Ewa Beach,US,75.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
340,Port Elizabeth,ZA,65.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
346,Charters Towers,AU,71.4,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
348,Macon,US,61.54,overcast clouds,39.8667,-88.9668,Haworth Cottage
352,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
353,Katsuura,JP,72.19,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
356,Kapit,MY,76.3,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
357,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
358,Somerset,US,76.39,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
359,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
360,Mercedes,AR,63.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
361,Santa Maria,BR,69.1,moderate rain,-29.6842,-53.8069,Hotel Morotin
362,Maturin,VE,86.0,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
365,Bontang,ID,80.69,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
366,Gat,IL,83.39,scattered clouds,31.61,34.7642,OlusHome
368,Waddan,LY,76.64,clear sky,29.1614,16.139,محل الشريف محمد العايب
375,Izumo,JP,62.55,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
381,Poum,NC,73.8,broken clouds,-20.2333,164.0167,Gîte kajeon
383,Puerto El Triunfo,SV,82.56,clear sky,13.2833,-88.55,Hotel Jardin
384,Cockburn Town,TC,82.38,few clouds,21.4612,-71.1419,Osprey Beach Hotel
385,Eyl,SO,82.69,overcast clouds,7.9803,49.8164,Amiin Hotel
391,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
394,Sheffield Lake,US,71.83,overcast clouds,41.4875,-82.1015,Fairfield Inn & Suites by Marriott Cleveland Avon
396,Lalibela,ET,64.24,scattered clouds,12.0333,39.0333,Honey Land Hotel Lalibela
400,Gotsu,JP,65.52,clear sky,35.0,132.2167,Yurusato
401,Kupang,ID,80.85,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
405,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
411,Rabo De Peixe,PT,72.91,few clouds,37.8,-25.5833,Quinta das Giestas
414,Cocentaina,ES,79.25,few clouds,38.7398,-0.4398,Hotel Odon
415,Pishva,IR,81.25,clear sky,35.308,51.7267,شهرک خورشید هشتم
417,Saint-Doulchard,FR,62.98,broken clouds,47.1037,2.352,ibis Bourges
420,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
