City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vila Velha,BR,2021-10-02 22:26:59,-20.3297,-40.2925,76.95,88,20,12.66
68,Spilamberto,IT,2021-10-02 22:30:39,44.5343,11.0195,64.53,89,81,2.95
69,New Norfolk,AU,2021-10-02 22:30:39,-42.7826,147.0587,56.75,73,99,3.0
70,Nikolskoye,RU,2021-10-02 22:30:40,59.7035,30.7861,46.8,94,76,5.03
71,Verkhoyansk,RU,2021-10-02 22:30:40,67.5447,133.385,24.58,77,13,0.96
72,Upernavik,GL,2021-10-02 22:30:40,72.7868,-56.1549,30.25,74,84,5.03
73,Makakilo City,US,2021-10-02 22:30:41,21.3469,-158.0858,86.32,55,90,6.91
74,Tehachapi,US,2021-10-02 22:26:01,35.1322,-118.449,83.8,8,0,8.99
75,Kruisfontein,ZA,2021-10-02 22:30:41,-34.0033,24.7314,48.88,70,75,15.21
76,Jamestown,US,2021-10-02 22:30:42,42.097,-79.2353,69.12,59,1,4.61
77,Busselton,AU,2021-10-02 22:30:42,-33.65,115.3333,47.08,53,100,13.13
78,Westport,US,2021-10-02 22:30:42,41.1415,-73.3579,73.27,61,1,1.99
79,Marzuq,YE,2021-10-02 22:28:57,14.4,46.4667,76.77,48,100,4.12
80,Kajaani,FI,2021-10-02 22:30:43,64.2273,27.7285,46.45,87,75,6.91
81,Hirado,JP,2021-10-02 22:30:43,33.3597,129.5531,69.15,59,0,6.02
82,Laguna,US,2021-10-02 22:30:43,38.421,-121.4238,95.09,20,1,1.01
83,Mareeba,AU,2021-10-02 22:30:44,-17.0,145.4333,81.45,69,26,3.15
84,Saint-Philippe,RE,2021-10-02 22:30:44,-21.3585,55.7679,71.15,74,42,11.68
85,Muros,ES,2021-10-02 22:30:45,42.7762,-9.0603,69.15,92,100,19.42
86,Tessalit,ML,2021-10-02 22:30:45,20.1986,1.0114,89.49,13,97,8.97
87,Tiarei,PF,2021-10-02 22:30:45,-17.5333,-149.3333,84.22,75,12,12.8
88,Mahon,ES,2021-10-02 22:30:46,39.8885,4.2658,70.36,78,20,6.91
89,Akdagmadeni,TR,2021-10-02 22:30:46,39.6603,35.8836,46.13,77,70,3.96
90,Barreiras,BR,2021-10-02 22:29:28,-12.1528,-44.99,88.5,27,72,2.51
91,Pevek,RU,2021-10-02 22:30:46,69.7008,170.3133,24.76,77,22,21.68
92,Esperance,AU,2021-10-02 22:30:47,-33.8667,121.9,51.64,71,62,25.64
93,Montevideo,UY,2021-10-02 22:27:25,-34.8335,-56.1674,60.51,77,90,6.91
94,Leh,IN,2021-10-02 22:30:47,34.1667,77.5833,49.75,57,4,5.91
95,Jiblah,YE,2021-10-02 22:30:47,13.9216,44.1467,66.0,65,82,1.66
96,Tuktoyaktuk,CA,2021-10-02 22:30:48,69.4541,-133.0374,37.4,87,90,12.66
97,Margate,GB,2021-10-02 22:30:48,51.3813,1.3862,60.51,89,100,4.0
98,Kahului,US,2021-10-02 22:30:48,20.8947,-156.47,89.62,67,40,19.57
99,Rocha,UY,2021-10-02 22:30:49,-34.4833,-54.3333,53.92,80,94,6.24
100,Qaanaaq,GL,2021-10-02 22:30:49,77.484,-69.3632,29.77,93,100,15.73
101,Danville,US,2021-10-02 22:30:49,36.586,-79.395,81.03,66,1,5.75
102,Utena,LT,2021-10-02 22:30:49,55.5,25.6,46.74,82,33,12.73
103,Norman Wells,CA,2021-10-02 22:30:50,65.282,-126.8329,39.24,75,75,12.66
104,Ostrovnoy,RU,2021-10-02 22:30:50,68.0531,39.5131,46.63,85,100,17.63
105,Nara,JP,2021-10-02 22:30:50,34.6851,135.8049,70.97,70,0,0.72
106,Mehriz,IR,2021-10-02 22:30:51,31.5917,54.4318,66.7,32,28,5.1
107,Cabo San Lucas,MX,2021-10-02 22:30:51,22.8909,-109.9124,86.5,88,90,4.61
108,Kodinsk,RU,2021-10-02 22:30:51,58.6881,99.1844,30.02,96,76,2.15
109,Urucara,BR,2021-10-02 22:30:52,-2.5364,-57.76,75.45,94,85,2.21
110,Lompoc,US,2021-10-02 22:30:52,34.6391,-120.4579,93.34,57,1,13.8
111,Taksimo,RU,2021-10-02 22:30:52,56.3444,114.8794,30.54,72,48,2.55
112,Erenhot,CN,2021-10-02 22:30:53,43.6475,111.9767,47.53,43,100,15.95
113,Asosa,ET,2021-10-02 22:29:44,10.0667,34.5333,61.43,93,100,3.94
114,Carlyle,US,2021-10-02 22:30:53,38.6103,-89.3726,76.17,88,83,1.99
115,Inirida,CO,2021-10-02 22:30:53,3.8653,-67.9239,76.03,94,100,1.48
116,Alghero,IT,2021-10-02 22:30:54,40.5589,8.3181,64.49,100,44,3.44
117,Avarua,CK,2021-10-02 22:30:54,-21.2078,-159.775,75.25,88,75,8.05
118,Chara,RU,2021-10-02 22:30:54,56.9064,118.2631,30.33,62,29,0.34
119,Barrow,US,2021-10-02 22:30:55,71.2906,-156.7887,30.22,80,90,14.97
120,Pacific Grove,US,2021-10-02 22:30:55,36.6177,-121.9166,96.58,78,1,1.01
121,Port Blair,IN,2021-10-02 22:30:55,11.6667,92.75,80.29,81,100,11.07
122,Mar Del Plata,AR,2021-10-02 22:30:56,-38.0023,-57.5575,55.42,55,90,5.01
123,Rodrigues Alves,BR,2021-10-02 22:30:56,-7.738,-72.6509,82.6,78,82,1.45
124,Banda Aceh,ID,2021-10-02 22:30:03,5.5577,95.3222,78.24,85,100,4.36
125,Codajas,BR,2021-10-02 22:30:57,-3.8367,-62.0569,76.46,88,84,2.15
126,Nikolayevsk-Na-Amure,RU,2021-10-02 22:30:57,53.1406,140.73,42.44,60,4,4.34
127,Geraldton,AU,2021-10-02 22:30:57,-28.7667,114.6,54.01,87,75,3.44
128,Mecca,SA,2021-10-02 22:30:15,21.4267,39.8261,86.43,36,54,5.64
129,Poum,NC,2021-10-02 22:30:58,-20.2333,164.0167,76.1,82,19,13.82
130,Khatanga,RU,2021-10-02 22:30:58,71.9667,102.5,15.13,97,63,1.92
131,Mount Pleasant,US,2021-10-02 22:30:59,32.7941,-79.8626,77.99,87,90,4.0
132,Turukhansk,RU,2021-10-02 22:30:59,65.8167,87.9833,30.83,92,100,2.51
133,Tilichiki,RU,2021-10-02 22:30:59,60.4667,166.1,39.06,83,100,6.35
134,Hobart,AU,2021-10-02 22:28:18,-42.8794,147.3294,57.11,97,75,1.01
135,Mizdah,LY,2021-10-02 22:31:00,31.4451,12.9801,66.45,77,0,5.7
136,Hermon,US,2021-10-02 22:31:00,44.8101,-68.9134,57.72,82,75,3.44
137,Yulara,AU,2021-10-02 22:31:00,-25.2406,130.9889,60.64,48,0,11.5
138,Neuquen,AR,2021-10-02 22:28:10,-38.9516,-68.0591,58.89,26,0,12.66
139,Tomatlan,MX,2021-10-02 22:31:01,19.9333,-105.25,84.56,73,49,7.11
140,Arraial Do Cabo,BR,2021-10-02 22:31:01,-22.9661,-42.0278,72.41,89,99,8.19
141,Tasiilaq,GL,2021-10-02 22:31:01,65.6145,-37.6368,37.56,61,1,4.88
142,Cockburn Town,TC,2021-10-02 22:31:02,21.4612,-71.1419,80.56,74,75,8.05
143,Sao Filipe,CV,2021-10-02 22:31:02,14.8961,-24.4956,79.47,82,40,10.36
144,Benxi,CN,2021-10-02 22:29:14,41.2886,123.765,68.32,95,100,7.72
145,Pangnirtung,CA,2021-10-02 22:31:03,66.1451,-65.7125,37.44,83,62,1.43
146,Indi,IN,2021-10-02 22:31:03,17.1667,75.9667,78.76,79,100,7.45
147,General Pico,AR,2021-10-02 22:31:03,-35.6566,-63.7568,51.28,30,0,9.06
148,Chokurdakh,RU,2021-10-02 22:31:04,70.6333,147.9167,13.3,97,54,4.25
149,Richards Bay,ZA,2021-10-02 22:31:04,-28.783,32.0377,65.88,85,100,9.28
150,Tiksi,RU,2021-10-02 22:31:04,71.6872,128.8694,24.91,89,64,14.9
151,Bonavista,CA,2021-10-02 22:31:05,48.6499,-53.1147,58.12,84,31,11.01
152,Marshall,US,2021-10-02 22:29:16,34.3834,-86.3333,79.32,66,1,1.99
153,Omboue,GA,2021-10-02 22:31:05,-1.5746,9.2618,76.98,86,100,7.43
154,Saint George,US,2021-10-02 22:31:01,37.1041,-113.5841,86.34,12,1,5.75
155,Yellowknife,CA,2021-10-02 22:30:28,62.456,-114.3525,49.41,86,75,14.97
156,Hasaki,JP,2021-10-02 22:31:06,35.7333,140.8333,68.4,73,12,14.2
157,Umm Kaddadah,SD,2021-10-02 22:31:06,13.6017,26.6876,86.11,21,10,10.4
158,Ornskoldsvik,SE,2021-10-02 22:31:07,63.2909,18.7153,51.62,100,90,17.27
159,Basco,PH,2021-10-02 22:31:07,20.4487,121.9702,83.57,68,60,18.97
160,Buraydah,SA,2021-10-02 22:31:07,26.326,43.975,81.05,15,6,5.99
161,Heihe,CN,2021-10-02 22:31:08,50.2441,127.4902,38.43,84,97,7.56
162,Iqaluit,CA,2021-10-02 22:31:08,63.7506,-68.5145,33.53,93,20,0.0
163,Nome,US,2021-10-02 22:31:08,64.5011,-165.4064,37.17,60,40,17.27
164,Monkey Bay,MW,2021-10-02 22:31:09,-14.0728,34.9201,78.85,65,13,3.8
165,Narsaq,GL,2021-10-02 22:31:09,60.9167,-46.05,57.42,55,6,6.51
166,Qiongshan,CN,2021-10-02 22:31:09,20.0058,110.3542,73.38,100,9,0.0
167,Zerbst,DE,2021-10-02 22:31:10,51.9667,12.0833,62.28,77,93,14.58
168,Isangel,VU,2021-10-02 22:31:10,-19.55,169.2667,77.11,88,75,11.5
169,Husavik,IS,2021-10-02 22:31:10,66.0449,-17.3389,39.11,98,100,25.84
170,Kawambwa,ZM,2021-10-02 22:31:11,-9.7915,29.0791,67.21,69,82,2.17
171,White Settlement,US,2021-10-02 22:31:11,32.7596,-97.4584,85.89,59,75,5.75
172,Castro,BR,2021-10-02 22:31:11,-24.7911,-50.0119,61.07,99,100,4.59
173,Boca Do Acre,BR,2021-10-02 22:31:12,-8.7522,-67.3978,74.73,92,91,2.13
174,Lagoa,PT,2021-10-02 22:31:12,39.05,-27.9833,70.43,89,98,14.85
175,Fairbanks,US,2021-10-02 22:29:47,64.8378,-147.7164,35.6,95,90,4.61
176,Guerrero Negro,MX,2021-10-02 22:27:41,27.9769,-114.0611,86.97,39,0,12.1
177,Havre-Saint-Pierre,CA,2021-10-02 22:29:49,50.2334,-63.5986,46.76,100,90,3.44
178,Mandurah,AU,2021-10-02 22:31:13,-32.55,115.7,58.21,59,67,17.72
179,Bathsheba,BB,2021-10-02 22:31:13,13.2167,-59.5167,84.81,70,40,24.16
180,Saint Peter,BB,2021-10-02 22:31:14,13.25,-59.6167,82.96,73,17,22.26
181,Port Hardy,CA,2021-10-02 22:27:13,50.6996,-127.4199,51.98,93,90,5.75
182,Accra,GH,2021-10-02 22:30:26,5.556,-0.1969,81.01,83,20,9.22
183,Kyabram,AU,2021-10-02 22:31:14,-36.3167,145.05,61.88,85,96,5.14
184,Luderitz,NA,2021-10-02 22:26:54,-26.6481,15.1594,57.63,73,0,23.55
185,Ballater,GB,2021-10-02 22:31:15,57.0493,-3.0402,48.29,96,100,3.76
186,Bethel,US,2021-10-02 22:31:15,41.3712,-73.414,70.65,74,1,0.0
187,Atikokan,CA,2021-10-02 22:31:15,48.7555,-91.6216,61.61,93,100,4.76
188,Chuy,UY,2021-10-02 22:31:16,-33.6971,-53.4616,54.66,84,37,7.05
189,Botevgrad,BG,2021-10-02 22:31:16,42.9,23.7833,51.87,74,0,3.13
190,Hamilton,US,2021-10-02 22:31:16,39.1834,-84.5333,78.24,74,1,3.44
191,Fortuna,US,2021-10-02 22:31:17,40.5982,-124.1573,86.47,73,20,1.99
192,Alexandria,EG,2021-10-02 22:31:17,31.2156,29.9553,75.16,60,40,10.36
193,Tuatapere,NZ,2021-10-02 22:31:18,-46.1333,167.6833,52.83,71,100,3.58
194,Santa Fe,AR,2021-10-02 22:31:18,-31.6333,-60.7,67.01,77,67,3.0
195,Asfi,MA,2021-10-02 22:26:18,32.2994,-9.2372,67.69,84,53,11.86
196,Okoneshnikovo,RU,2021-10-02 22:31:18,54.8377,75.0834,33.87,77,100,7.56
197,Blagoyevo,RU,2021-10-02 22:31:19,63.3667,47.9167,41.95,93,100,1.95
198,Hofn,IS,2021-10-02 22:31:19,64.2539,-15.2082,46.35,66,100,18.68
